"
",13561,b'\\n'
 ,388224,b' '
!,213,b'!'
"""",24398,"b'""'"
#,600,b'#'
%,12102,b'%'
&,7956,b'&'
',1,"b""'"""
(,1297,b'('
),1299,b')'
*,180,b'*'
+,588,b'+'
",",638,"b','"
-,8773,b'-'
.,15527,b'.'
/,27541,b'/'
0,7930,b'0'
1,4977,b'1'
2,4313,b'2'
3,3523,b'3'
4,3089,b'4'
5,3230,b'5'
6,2735,b'6'
7,3127,b'7'
8,8753,b'8'
9,5676,b'9'
:,11674,b':'
;,9064,b';'
<,32280,b'<'
=,12206,b'='
>,32279,b'>'
?,4,b'?'
@,4,b'@'
A,3654,b'A'
B,2834,b'B'
C,1555,b'C'
D,6657,b'D'
E,713,b'E'
F,1173,b'F'
G,735,b'G'
H,729,b'H'
I,812,b'I'
J,550,b'J'
K,509,b'K'
L,1502,b'L'
M,601,b'M'
N,705,b'N'
O,642,b'O'
P,800,b'P'
Q,627,b'Q'
R,1668,b'R'
S,758,b'S'
T,1626,b'T'
U,546,b'U'
V,621,b'V'
W,631,b'W'
X,645,b'X'
Y,633,b'Y'
Z,545,b'Z'
[,76,b'['
],76,b']'
_,899,b'_'
a,22792,b'a'
b,7413,b'b'
c,8250,b'c'
d,9842,b'd'
e,21329,b'e'
f,7481,b'f'
g,12569,b'g'
h,7519,b'h'
i,20879,b'i'
j,4651,b'j'
k,2029,b'k'
l,18406,b'l'
m,5569,b'm'
n,22511,b'n'
o,14316,b'o'
p,29782,b'p'
q,4857,b'q'
r,16020,b'r'
s,30130,b's'
t,33866,b't'
u,9617,b'u'
v,3419,b'v'
w,4212,b'w'
x,4717,b'x'
y,9537,b'y'
z,836,b'z'
{,140,b'{'
|,0,b'|'
},140,b'}'
ˈ,7,b'\\u02c8'
،,10470,b'\\u060c'
؛,535,b'\\u061b'
؟,401,b'\\u061f'
ء,167,b'\\u0621'
آ,8333,b'\\u0622'
أ,465,b'\\u0623'
ؤ,86,b'\\u0624'
إ,10,b'\\u0625'
ئ,2475,b'\\u0626'
ا,221060,b'\\u0627'
ب,62437,b'\\u0628'
ة,18,b'\\u0629'
ت,71610,b'\\u062a'
ث,1920,b'\\u062b'
ج,15354,b'\\u062c'
ح,15537,b'\\u062d'
خ,17166,b'\\u062e'
د,100800,b'\\u062f'
ذ,2774,b'\\u0630'
ر,128510,b'\\u0631'
ز,32346,b'\\u0632'
س,45814,b'\\u0633'
ش,37698,b'\\u0634'
ص,9245,b'\\u0635'
ض,4631,b'\\u0636'
ط,7486,b'\\u0637'
ظ,3099,b'\\u0638'
ع,19475,b'\\u0639'
غ,2745,b'\\u063a'
ـ,387,b'\\u0640'
ف,20733,b'\\u0641'
ق,16648,b'\\u0642'
ك,100,b'\\u0643'
ل,37806,b'\\u0644'
م,84650,b'\\u0645'
ن,97578,b'\\u0646'
ه,90875,b'\\u0647'
و,81730,b'\\u0648'
ى,15,b'\\u0649'
ي,217,b'\\u064a'
ً,335,b'\\u064b'
ٌ,1,b'\\u064c'
ٍ,11,b'\\u064d'
َ,212,b'\\u064e'
ُ,133,b'\\u064f'
ِ,156,b'\\u0650'
ّ,62,b'\\u0651'
ْ,61,b'\\u0652'
٠,6,b'\\u0660'
١,14,b'\\u0661'
٢,15,b'\\u0662'
٣,9,b'\\u0663'
٤,2,b'\\u0664'
٥,5,b'\\u0665'
٦,3,b'\\u0666'
٧,4,b'\\u0667'
٨,6,b'\\u0668'
٩,10,b'\\u0669'
٪,0,b'\\u066a'
٬,2,b'\\u066c'
پ,9710,b'\\u067e'
چ,4572,b'\\u0686'
ڈ,0,b'\\u0688'
ڑ,0,b'\\u0691'
ژ,1377,b'\\u0698'
ک,38654,b'\\u06a9'
گ,19424,b'\\u06af'
ں,1,b'\\u06ba'
ۀ,24,b'\\u06c0'
ہ,4,b'\\u06c1'
ی,140356,b'\\u06cc'
ے,1,b'\\u06d2'
۰,1834,b'\\u06f0'
۱,1696,b'\\u06f1'
۲,1300,b'\\u06f2'
۳,871,b'\\u06f3'
۴,716,b'\\u06f4'
۵,888,b'\\u06f5'
۶,546,b'\\u06f6'
۷,594,b'\\u06f7'
۸,577,b'\\u06f8'
۹,723,b'\\u06f9'
​,1,b'\\u200b'
‌,16254,b'\\u200c'
‍,1,b'\\u200d'
‎,63,b'\\u200e'
‏,14,b'\\u200f'
–,85,b'\\u2013'
“,0,b'\\u201c'
…,12,b'\\u2026'
‬,1,b'\\u202c'
⁧,0,b'\\u2067'
⁩,0,b'\\u2069'
