Column1,sd
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
A,a
B,b
C,c
D,d
E,e
F,f
G,g
H,h
I,i
J,j
K,k
L,l
M,m
N,n
O,o
P,p
Q,q
R,r
S,s
T,t
U,u
V,v
W,w
X,x
Y,y
Z,z
a,a
b,b
c,c
d,d
e,e
f,f
g,g
h,h
i,i
j,j
k,k
l,l
m,m
n,n
o,o
p,p
q,q
r,r
s,s
t,t
u,u
v,v
w,w
x,x
y,y
z,z
ˈ,
"،",
؛,
؟,
ء,
آ,ا
أ,ا
ؤ,و
إ,ا
ئ,ی
ا,ا
ب,ب
ة,ه
ت,ت
ث,ث
ج,ج
ح,ح
خ,خ
د,د
ذ,ذ
ر,ر
ز,ز
س,س
ش,ش
ص,ص
ض,ض
ط,ط
ظ,ظ
ع,ع
غ,غ
ـ,
ف,ف
ق,ق
ك,ک
ل,ل
م,م
ن,ن
ه,ه
و,و
ى,ی
ي,ی
ً,
ٌ,
ٍ,
َ,
ُ,
ِ,
ّ,
ْ,
٠,0
١,1
٢,2
٣,3
٤,4
٥,5
٦,6
٧,7
٨,8
٩,9
٪,
٬,
پ,پ
چ,چ
ڈ,د
ڑ,ر
ژ,ژ
ک,ک
گ,گ
ں,ن
ۀ,ه
ہ,ه
ی,ی
ے,ی
۰,0
۱,1
۲,2
۳,3
۴,4
۵,5
۶,6
۷,7
۸,8
۹,9
​, 
‌, 
‍, 
‎,
‏,
–,
“,
…,
‬,
⁧,
⁩,
